15,m,31-33,Tucumán,10+,SysAdmin / DevOps,Full-Time,11000,1
15,m,37-40,Santa Fe,3-5,Soporte sistemas ERP,Full-Time,13000,3
15,m,27-30,Buenos Aires,3-5,Networking,Full-Time,19000,2
15,m,34-36,Corrientes,10+,SysAdmin / DevOps,Full-Time,7000,3
15,m,24-26,Buenos Aires,5-7,SysAdmin / DevOps,Full-Time,11200,3
15,m,34-36,Buenos Aires,5-7,Manteniniento electromecanico y soluciones de produccion,Part-Time,7400,2
15,m,27-30,Mendoza,3-5,QA / Tester,Full-Time,11500,2
15,m,24-26,CABA,3-5,Developer,Full-Time,16400,4
15,m,34-36,Buenos Aires,5-7,operador,Part-Time,12000,2
15,m,24-26,CABA,1-2,Designer,Full-Time,14000,2
15,m,24-26,CABA,5-7,HelpDesk,Full-Time,10000,2
15,f,34-36,Mendoza,10+,Adminstrative,Full-Time,10000,3
15,f,34-36,CABA,10+,DBA,Full-Time,17000,1
15,m,27-30,San Luis,3-5,Developer,Full-Time,21000,4
15,m,27-30,CABA,3-5,SysAdmin / DevOps,Full-Time,15500,2
15,m,34-36,CABA,8-10,Developer,Full-Time,22000,3
15,m,31-33,Córdoba,1-2,comerciantes,Full-Time,9500,3
15,m,21-23,Mendoza,1-2,QA / Tester,Full-Time,8900,2
15,m,27-30,CABA,8-10,SysAdmin / DevOps,Full-Time,15000,2
15,m,27-30,Mendoza,10+,SysAdmin / DevOps,Full-Time,16000,3
15,m,24-26,Buenos Aires,3-5,SysAdmin / DevOps,Full-Time,12400,1
15,m,37-40,CABA,3-5,SysAdmin / DevOps,Full-Time,11400,3
15,m,31-33,CABA,5-7,SysAdmin / DevOps,Full-Time,17000,4
15,m,31-33,Buenos Aires,8-10,Customer service,Full-Time,20000,3
15,m,24-26,CABA,3-5,Developer,Full-Time,13500,3
15,f,31-33,Buenos Aires,8-10,Developer,Full-Time,18000,4
15,m,27-30,CABA,3-5,Developer,Full-Time,10000,2
15,m,34-36,Chubut,10+,Empleado,Part-Time,38000,3
15,m,24-26,Mendoza,3-5,Developer,Remoto,25000,5
15,m,37-40,Chaco,3-5,Developer,Full-Time,8000,3
15,m,27-30,CABA,8-10,HelpDesk,Full-Time,13964,3
15,f,24-26,CABA,3-5,Developer,Full-Time,22000,5
15,m,34-36,Buenos Aires,10+,SysAdmin / DevOps,Part-Time,11000,2
15,m,27-30,CABA,5-7,Developer,Full-Time,14500,2
16,m,27-30,Mendoza,1,Developer,Full-Time,9000,2
16,m,31-33,CABA,8-10,SysAdmin / DevOps,Full-Time,32000,5
16,m,50+,CABA,10+,Freelance sysadmin fullstack dev,Freelance,15000,2
16,m,34-36,Córdoba,10+,SysAdmin / DevOps,Full-Time,20000,2
16,m,31-33,CABA,5-7,Developer,Full-Time,19000,3
16,m,31-33,Buenos Aires,8-10,operador maquinista,Full-Time,12000,4
16,m,24-26,CABA,3-5,SysAdmin / DevOps,Full-Time,15000,3
16,f,24-26,CABA,3-5,Developer,Full-Time,11125,3
16,m,34-36,CABA,10+,SysAdmin / DevOps,Full-Time,31500,3
16,m,37-40,Buenos Aires,10+,Designer,Part-Time,15000,3
16,m,27-30,CABA,3-5,Developer,Full-Time,21500,5
16,m,31-33,CABA,5-7,SysAdmin / DevOps,Full-Time,22000,3
16,m,24-26,CABA,5-7,SysAdmin / DevOps,Full-Time,17000,4
16,m,27-30,CABA,5-7,SysAdmin / DevOps,Full-Time,35000,3
16,f,31-33,Buenos Aires,8-10,Busniness Analyst,Full-Time,13200,2
16,m,27-30,Tucumán,3-5,Networking,Full-Time,10000,3
16,m,24-26,Buenos Aires,3-5,Electricista,Full-Time,11000,3
16,m,34-36,Entre Ríos,10+,PM,Full-Time,21000,2
16,m,31-33,CABA,8-10,Storage / Backup,Full-Time,11500,3
16,m,24-26,Entre Ríos,1-2,Developer,Full-Time,10000,2
17,m,31-33,Buenos Aires,10+,Tech Support,Full-Time,8000,1
17,m,34-36,Córdoba,10+,mantenimiento,Part-Time,6000,1
17,m,31-33,Mendoza,8-10,Salud,Full-Time,12000,2
17,m,31-33,Mendoza,8-10,Developer,Part-Time,10000,2
17,m,24-26,Buenos Aires,5-7,SysAdmin / DevOps,Freelance,20000,5
17,m,24-26,CABA,3-5,SysAdmin / DevOps,Full-Time,25500,4
17,m,27-30,CABA,8-10,PM,Full-Time,29000,1
17,m,27-30,Córdoba,5-7,Developer,Full-Time,19600,4
17,m,27-30,Córdoba,8-10,Developer,Full-Time,19000,3
17,m,27-30,Buenos Aires,5-7,Developer,Full-Time,15000,3
17,m,37-40,CABA,10+,Developer,Part-Time,24000,3
17,m,41-45,CABA,10+,QA / Tester,Full-Time,17000,3
17,m,27-30,CABA,5-7,HelpDesk,Full-Time,13000,3
17,m,18-20,Buenos Aires,1,Gastronomía,Full-Time,11200,4
17,m,24-26,Buenos Aires,1,vendedor,Full-Time,11000,1
17,m,24-26,Buenos Aires,1,vendedor,Full-Time,11000,1
18,m,37-40,Santa Fe,8-10,Tecnico Electrico,Full-Time,10000,4
18,m,37-40,CABA,10+,SysAdmin / DevOps,Full-Time,30000,3
18,m,24-26,CABA,3-5,SysAdmin / DevOps,Full-Time,24000,5
18,m,27-30,San Luis,8-10,tratamientos térmicos,Full-Time,5000,1
18,f,24-26,CABA,1-2,Developer,Part-Time,6500,1
18,m,27-30,Córdoba,3-5,Developer,Full-Time,18500,3
18,m,31-33,Santa Fe,10+,Estacion de servicio,Full-Time,9000,3
18,m,24-26,Córdoba,1-2,Developer,Full-Time,9500,2
18,m,41-45,CABA,10+,PM,Full-Time,25000,4
18,m,24-26,Buenos Aires,3-5,Developer,Part-Time,4500,1
19,m,31-33,CABA,8-10,Militar,Full-Time,10000,2
19,m,41-45,CABA,10+,PM,Full-Time,50000,3
19,m,31-33,Córdoba,5-7,SysAdmin / DevOps,Full-Time,22500,3
19,m,24-26,CABA,3-5,Developer,Part-Time,11000,3
19,m,37-40,CABA,10+,Networking,Full-Time,21000,3
